casenumber,1,31
county_name,33,44
municipality_name,46,69
crash_date,71,80
crash_day_of_week,82,83
crash_time,85,88
police_dept_code,90,91
police_department,93,117
police_station,119,133
total_killed,135,136
total_injured,138,139
pedestrians_killed,141,142
pedestrians_injured,144,145
severity,147,147
intersection,149,149
alcohol_involved,151,151
hazmat_involved,153,153
crash_type_code,155,156
total_vehicles_involved,158,159
crash_location,161,210
location_direction,212,212
route,214,217
route_suffix,219,219
sri_std_rte_identifier,221,236
milepost,238,244
road_system,246,247
road_character,249,250
road_horizontal_alignment,252,253
road_grade,255,256
road_surface_type,258,259
surface_condition,261,262
light_condition,264,265
environmental_condition,267,268
road_divided_by,270,271
temporary_traffic_control_zone,273,274
distance_to_cross_street,276,279
unit_of_measurement,281,282
directn_from_cross_street,284,284
cross_street_name,286,320
is_ramp,322,322
ramp_tofrom_route_name,324,348
ramp_tofrom_route_direction,350,351
posted_speed,353,354
posted_speed_cross_street,356,357
first_harmful_event,359,360
latitude,362,370
longitude,372,380
cell_phone_in_use_flag,382,382
other_property_damage,384,463
reporting_badge_no,465,469
